Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Pangolin,PangoVersions,Random_Sampling,Isolate,Species,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date
OX660864,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-06-16T00:00:00Z,B,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29782,complete,United Kingdom:Scotland,United Kingdom,,,,2020-03-25
OX660922,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-06-16T00:00:00Z,B.33,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29782,complete,United Kingdom:Scotland,United Kingdom,,,,2020-03-30
OX661025,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-06-16T00:00:00Z,B.1,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29782,complete,,,,,,
OX661346,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-06-16T00:00:00Z,B.1.93,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29782,complete,United Kingdom:Scotland,United Kingdom,,,,2020-03-30
OX664287,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-06-16T00:00:00Z,A,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29782,complete,United Kingdom:Scotland,United Kingdom,,,,2020-04-01
OX664341,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-06-16T00:00:00Z,B,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29779,complete,,,,,,
OX664395,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-06-16T00:00:00Z,B.26,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29779,complete,United Kingdom:Scotland,United Kingdom,,,,2020-03-27
OX664475,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-06-16T00:00:00Z,B.1.93,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29782,complete,United Kingdom:Scotland,United Kingdom,,,,2020-03-29
OX664722,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-06-16T00:00:00Z,B.45,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29779,complete,United Kingdom:Scotland,United Kingdom,,,,2020-03-31
OX664750,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-06-16T00:00:00Z,B.35,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29782,complete,,,,,,
OX664774,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-06-16T00:00:00Z,B.57,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29779,complete,,,,,,
OX664841,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-06-16T00:00:00Z,B.45,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29779,complete,United Kingdom:Scotland,United Kingdom,,,,2020-03-29
OX664844,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-06-16T00:00:00Z,B.40,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29782,complete,United Kingdom:Scotland,United Kingdom,,,,2020-03-27
OX665688,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-06-16T00:00:00Z,B,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29782,complete,,,,,,
OX665695,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-06-16T00:00:00Z,B.26,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29779,complete,United Kingdom:Scotland,United Kingdom,,,,2020-03-28
OX665733,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-06-16T00:00:00Z,B.1,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29782,complete,United Kingdom:Scotland,United Kingdom,,,,2020-04-03
OX665769,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-06-16T00:00:00Z,B.45,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29773,complete,United Kingdom:Scotland,United Kingdom,,,,2020-03-25
OX665908,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-06-16T00:00:00Z,B.40,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29782,complete,,,,,,
OX665913,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-06-16T00:00:00Z,B.1,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29782,complete,,,,,,
OX665947,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-06-16T00:00:00Z,B.1.1,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29773,complete,,,,,,
OX665993,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-06-16T00:00:00Z,B.1.69,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29782,complete,,,,,,
OX666004,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-06-16T00:00:00Z,B.1.1.89,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29782,complete,United Kingdom:Scotland,United Kingdom,,,,2020-03-25
OX666427,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-06-16T00:00:00Z,B.1.1,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29782,complete,United Kingdom:Scotland,United Kingdom,,,,2020-03-29
OX666436,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-06-16T00:00:00Z,B.45,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29779,complete,United Kingdom:Scotland,United Kingdom,,,,2020-03-24
OX666810,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-06-16T00:00:00Z,A.2.3,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29782,complete,United Kingdom:Scotland,United Kingdom,,,,2020-03-31
OX666876,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-06-16T00:00:00Z,B.1,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29782,complete,United Kingdom:Scotland,United Kingdom,,,,2020-03-29
OX669776,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-06-16T00:00:00Z,B.1.391,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29782,complete,United Kingdom:Scotland,United Kingdom,,,,2020-03-29
OX672066,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-06-16T00:00:00Z,B.45,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29779,complete,United Kingdom:Scotland,United Kingdom,,,,2020-03-24
OR116091,Severe acute respiratory syndrome coronavirus 2,"Yamayoshi,S.","University of Tokyo, Institute of Medical Science",Japan,2023-06-08T00:00:00Z,B.1.617.2,4.3/1.21/v0.1.12/0.3.18,,Wild-type(WI-UW-5250),Severe acute respiratory syndrome-related coronavirus,29769,complete,Japan,Japan,,,,2022-03
OR116092,Severe acute respiratory syndrome coronavirus 2,"Yamayoshi,S.","University of Tokyo, Institute of Medical Science",Japan,2023-06-08T00:00:00Z,B.1.617.2,4.3/1.21/v0.1.12/0.3.18,,Nsp5-L50F-E166V,Severe acute respiratory syndrome-related coronavirus,29770,complete,Japan,Japan,,,,2022-08
OR116093,Severe acute respiratory syndrome coronavirus 2,"Yamayoshi,S.","University of Tokyo, Institute of Medical Science",Japan,2023-06-08T00:00:00Z,B.1.617.2,4.3/1.21/v0.1.12/0.3.18,,Nsp5-L50F-E166A-L167F,Severe acute respiratory syndrome-related coronavirus,29769,complete,Japan,Japan,,,,2022-08
OX605131,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-05-14T00:00:00Z,B.1.69,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29782,complete,,,,,,
OX605173,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-05-14T00:00:00Z,B.1,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29782,complete,,,,,,
OX605174,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-05-14T00:00:00Z,B.1.69,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29782,complete,,,,,,
OX605187,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-05-14T00:00:00Z,B.45,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29779,complete,,,,,,
OX605194,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-05-14T00:00:00Z,B.1,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29782,complete,United Kingdom:Scotland,United Kingdom,,,,2020-04-07
OX605324,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-05-14T00:00:00Z,B.1.391,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29782,complete,United Kingdom:Scotland,United Kingdom,,,,2020-03-20
OX605332,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-05-14T00:00:00Z,B.40,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29782,complete,United Kingdom:Scotland,United Kingdom,,,,2020-03-20
OX605357,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-05-14T00:00:00Z,B.1,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29782,complete,United Kingdom:Scotland,United Kingdom,,,,2020-03-26
OX605358,Severe acute respiratory syndrome coronavirus 2,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,2023-05-14T00:00:00Z,B.1.1,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29782,complete,United Kingdom:Scotland,United Kingdom,,,,2020-04-03
